p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
757.0,544.7E3
758.0,544.7E3
759.0,544.7E3
760.0,544.7E3
761.0,544.7E3
762.0,544.7E3
763.0,544.7E3
764.0,544.7E3
765.0,544.7E3
766.0,544.7E3
767.0,544.7E3
768.0,544.7E3
769.0,544.7E3
770.0,544.7E3
771.0,544.7E3
772.0,544.7E3
773.0,544.7E3
774.0,544.7E3
775.0,544.7E3
776.0,544.7E3
777.0,544.7E3
778.0,544.7E3
779.0,544.7E3
780.0,544.7E3
781.0,544.7E3
782.0,544.7E3
783.0,544.7E3
784.0,544.7E3
785.0,544.7E3
786.0,544.7E3
787.0,544.7E3
788.0,544.7E3
789.0,544.7E3
790.0,544.7E3
791.0,544.7E3
792.0,544.7E3
793.0,544.7E3
794.0,544.7E3
795.0,544.7E3
796.0,544.7E3
797.0,544.7E3
798.0,544.7E3
799.0,544.7E3
800.0,544.7E3
801.0,544.7E3
802.0,544.7E3
803.0,544.7E3
804.0,544.7E3
805.0,544.7E3
806.0,544.7E3
807.0,544.7E3
808.0,544.7E3
809.0,544.7E3
810.0,544.7E3
811.0,544.7E3
812.0,544.7E3
813.0,544.7E3
814.0,544.7E3
815.0,544.7E3
816.0,544.7E3
817.0,544.7E3
818.0,544.7E3
819.0,544.7E3
820.0,544.7E3
821.0,544.7E3
822.0,544.7E3
823.0,544.7E3
824.0,544.7E3
825.0,544.7E3
826.0,544.7E3
827.0,544.7E3
828.0,544.7E3
829.0,544.7E3
830.0,544.7E3
831.0,544.7E3
832.0,544.7E3
833.0,544.7E3
834.0,544.7E3
835.0,544.7E3
836.0,544.7E3
837.0,544.7E3
838.0,544.7E3
839.0,544.7E3
840.0,544.7E3
841.0,544.7E3
842.0,544.7E3
843.0,544.7E3
844.0,544.7E3
845.0,544.7E3
846.0,544.7E3
847.0,544.7E3
848.0,544.7E3
849.0,544.7E3
850.0,544.7E3
851.0,544.7E3
852.0,544.7E3
853.0,544.7E3
854.0,544.7E3
855.0,544.7E3
856.0,544.7E3
857.0,544.7E3
858.0,544.7E3
859.0,544.7E3
860.0,544.7E3
861.0,544.7E3
862.0,544.7E3
863.0,544.7E3
864.0,544.7E3
865.0,544.7E3
866.0,544.7E3
867.0,544.7E3
868.0,544.7E3
869.0,544.7E3
870.0,544.7E3
871.0,544.7E3
872.0,544.7E3
873.0,544.7E3
874.0,544.7E3
875.0,544.7E3
876.0,544.7E3
877.0,544.7E3
878.0,544.7E3
879.0,544.7E3
880.0,544.7E3
881.0,544.7E3
882.0,544.7E3
883.0,544.7E3
884.0,544.7E3
885.0,544.7E3
886.0,544.7E3
887.0,544.7E3
888.0,544.7E3
889.0,544.7E3
890.0,544.7E3
891.0,544.7E3
892.0,544.7E3
893.0,544.7E3
894.0,544.7E3
895.0,544.7E3
896.0,544.7E3
897.0,544.7E3
898.0,544.7E3
899.0,544.7E3
900.0,544.7E3
901.0,544.7E3
902.0,544.7E3
903.0,544.7E3
904.0,544.7E3
905.0,544.7E3
906.0,544.7E3
907.0,544.7E3
908.0,544.7E3
909.0,544.7E3
910.0,544.7E3
911.0,544.7E3
912.0,544.7E3
913.0,544.7E3
914.0,544.7E3
915.0,544.7E3
916.0,544.7E3
917.0,544.7E3
918.0,544.7E3
919.0,544.7E3
920.0,544.7E3
921.0,544.7E3
922.0,544.7E3
923.0,544.7E3
924.0,544.7E3
925.0,544.7E3
926.0,544.7E3
927.0,544.7E3
928.0,544.7E3
929.0,544.7E3
930.0,544.7E3
931.0,544.7E3
932.0,544.7E3
933.0,544.7E3
934.0,544.7E3
935.0,544.7E3
936.0,544.7E3
937.0,544.7E3
938.0,544.7E3
939.0,544.7E3
940.0,544.7E3
941.0,544.7E3
942.0,544.7E3
943.0,544.7E3
944.0,544.7E3
945.0,544.7E3
946.0,544.7E3
947.0,544.7E3
948.0,544.7E3
949.0,544.7E3
950.0,544.7E3
951.0,544.7E3
952.0,544.7E3
953.0,544.7E3
954.0,544.7E3
955.0,544.7E3
956.0,544.7E3
957.0,544.7E3
958.0,544.7E3
959.0,544.7E3
960.0,544.7E3
961.0,544.7E3
962.0,544.7E3
963.0,544.7E3
964.0,544.7E3
965.0,544.7E3
966.0,544.7E3
967.0,544.7E3
968.0,544.7E3
969.0,544.7E3
970.0,544.7E3
971.0,544.7E3
972.0,544.7E3
973.0,544.7E3
974.0,544.7E3
975.0,544.7E3
976.0,544.7E3
977.0,544.7E3
978.0,544.7E3
979.0,544.7E3
980.0,544.7E3
