p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
772.0,1.621E6
773.0,1.621E6
774.0,1.621E6
775.0,1.621E6
776.0,1.621E6
777.0,1.621E6
778.0,1.621E6
779.0,1.621E6
780.0,1.621E6
781.0,1.621E6
782.0,1.621E6
783.0,1.621E6
784.0,1.621E6
785.0,1.621E6
786.0,1.621E6
787.0,1.621E6
788.0,1.621E6
789.0,1.621E6
790.0,1.621E6
791.0,1.621E6
792.0,1.621E6
793.0,1.621E6
794.0,1.621E6
795.0,1.621E6
796.0,1.621E6
797.0,1.621E6
798.0,1.621E6
799.0,1.621E6
800.0,1.621E6
801.0,1.621E6
802.0,1.621E6
803.0,1.621E6
804.0,1.621E6
805.0,1.621E6
806.0,1.621E6
807.0,1.621E6
808.0,1.621E6
809.0,1.621E6
810.0,1.621E6
811.0,1.621E6
812.0,1.621E6
813.0,1.621E6
814.0,1.621E6
815.0,1.621E6
816.0,1.621E6
817.0,1.621E6
818.0,1.621E6
819.0,1.621E6
820.0,1.621E6
821.0,1.621E6
822.0,1.621E6
823.0,1.621E6
824.0,1.621E6
825.0,1.621E6
826.0,1.621E6
827.0,1.621E6
828.0,1.621E6
829.0,1.621E6
830.0,1.621E6
831.0,1.621E6
832.0,1.621E6
833.0,1.621E6
834.0,1.621E6
835.0,1.621E6
836.0,1.621E6
837.0,1.621E6
838.0,1.621E6
839.0,1.621E6
840.0,1.621E6
841.0,1.621E6
842.0,1.621E6
843.0,1.621E6
844.0,1.621E6
845.0,1.621E6
846.0,1.621E6
847.0,1.621E6
848.0,1.621E6
849.0,1.621E6
850.0,1.621E6
851.0,1.621E6
852.0,1.621E6
853.0,1.621E6
854.0,1.621E6
855.0,1.621E6
856.0,1.621E6
857.0,1.621E6
858.0,1.621E6
859.0,1.621E6
860.0,1.621E6
861.0,1.621E6
862.0,1.621E6
863.0,1.621E6
864.0,1.621E6
865.0,1.621E6
866.0,1.621E6
867.0,1.621E6
868.0,1.621E6
869.0,1.621E6
870.0,1.621E6
871.0,1.621E6
872.0,1.621E6
873.0,1.621E6
874.0,1.621E6
875.0,1.621E6
876.0,1.621E6
877.0,1.621E6
878.0,1.621E6
879.0,1.621E6
880.0,1.621E6
881.0,1.621E6
882.0,1.621E6
